kmeans_cluster,buyers,company_share,investment_share,loan_share,international_share,mean_age,mean_satisfaction,mean_units,mean_total_investment,median_total_investment,mean_avg_unit_price,pct_of_base,segment_code,buyer_type
1,837,0.0,0.3249701314217443,0.3847072879330944,0.26881720430107525,54.18972520908005,2.9068100358422937,3.324970131421744,978280.8770967742,1003328.89,297122.41247849463,0.4185,C1,Global Investors
0,1011,0.0,0.2878338278931751,0.35113748763600394,0.20474777448071216,53.48427299703264,3.106824925816024,3.7467853610286843,1439411.7284668644,1399940.21,389438.03216765577,0.5055,C2,First-Time Buyers
3,103,1.0,0.34951456310679613,0.4174757281553398,0.22330097087378642,45.605825242718446,3.0679611650485437,3.6990291262135924,1263753.4936893203,1205900.67,344854.97368558624,0.0515,C3,Corporate Buyers
2,49,0.0,0.32653061224489793,0.32653061224489793,0.14285714285714285,62.74081632653061,3.4285714285714284,7.204081632653061,2377918.3546938775,2399689.67,331562.0343396796,0.0245,C4,Luxury Investors
